'a'du 阿杜
'lan'jie'ying 蓝洁瑛
'lan'qin 蓝沁
'lao'lang 老狼
'li'an 李安
'li'bao'tian 李保田
'li'bin 李滨
'li'bing 李兵
'li'bing'bing 李冰冰
'li'bing'chen 李炳辰
'li'guang'jie 李光洁
'li'hui'zhen 李慧珍
'li'jia'xin 李嘉欣
'li'jin'ming 李金铭
'li'jing 李静
'li'ke'qin 李克勤
'li'li'zhen 李丽珍
'li'lian'jie 李连杰
'li'lin 李琳
'li'ming 黎明
'li'ming'shun 李铭顺
'li'nan'xing 李南星
'li'qi'hong 李绮红
'li'qian 李倩
'li'qian'ni 李倩妮
'li'quan 李泉
'li'ruo'tong 李若彤
'li'shun'yu 李舜育
'li'wan'jing 李婉静
'li'wan'lin 李婉琳
'li'wei 李威
'li'wen 李玟
'li'xia 李霞
'li'xiang 李湘
'li'xiao'long 李小龙
'li'xiao'lu 李小璐
'li'xiao'ran 李小冉
'li'xin'jie 李心洁
'li'xin'yu 李欣娱
'li'xiu'xian 李修贤
'li'xue'jian 李雪健
'li'xue'qing 李学庆
'li'ya'peng 李亚鹏
'li'yi'xiang 李易祥
'li'yong 李咏
'li'yong'yong 李勇勇
'li'yu 李昱
'li'yuan'yuan 李媛媛
'li'yun'di 李云迪
'li'zi 黎姿
'li'zong'han 李宗翰
'li'zong'sheng 李宗盛
'liang'chao'wei 梁朝伟
'liang'jia'hui 梁家辉
'liang'jing 梁静
'liang'jing'ru 梁静茹
'liang'luo'shi 梁洛施
'liang'tian 梁天
'liang'yong'bin 梁永斌
'liang'yong'qi 梁咏琪
'lin'bao'yi 林保怡
'lin'jia'xin 林嘉欣
'lin'jun'jie 林俊杰
'lin'qing'xia 林青霞
'lin'shen 林申
'lin'wei'jun 林韦君
'lin'xi'lei 林熙蕾
'lin'xin'ru 林心如
'lin'yi'lian 林忆莲
'lin'yi'lun 林依轮
'lin'zhao'hua 林兆华
'lin'zhi'ling 林志玲
'lin'zhi'xuan 林志炫
'lin'zhi'ying 林志颖
'ling'dian'yue'dui 零点乐队
'liu'bei 刘蓓
'liu'de'hua 刘德华
'liu'guan'xiang 刘冠翔
'liu'huan 刘欢
'liu'jia'ling 刘嘉玲
'liu'lei 刘磊
'liu'qing'yun 刘青云
'liu'ruo'ying 刘若英
'liu'tao 刘涛
'liu'wei 刘威
'liu'wei'wei 刘威葳
'liu'xiang 刘翔
'liu'xiao'qing 刘晓庆
'liu'ya'wen 刘雅雯
'liu'yan 柳岩
'liu'ye 刘烨
'liu'yi'fei 刘亦菲
'liu'yi'wei 刘仪伟
'liu'yun'long 柳云龙
'liu'zi 刘孜
'lu'chuan 陆川
'lu'qiao'yin 卢巧音
'lu'yi 陆毅
'lun'hui'yue'dui 轮回乐队
'luo'da'you 罗大佑
'luo'hai'qiong 罗海琼
'luo'jia'liang 罗嘉良
'luo'jia'ying 罗家英
'luo'qi 罗琦
'luo'wen 罗文
'luo'zhi'xiang 罗志祥
'lv'li'ping 吕丽萍
'lv'liang'wei 吕良伟
'ma'ji 马季
'ma'jing'tao 马景涛
'ma'yi'li 马伊俐
'ma'yue 马跃
'man'jiang 满江
'man'wen'jun 满文军
'mao'a'min 毛阿敏
'mao'ning 毛宁
'mei'jia 眉佳
'mei'mei'zu'he 美眉组合
'mei'ting 梅婷
'mei'yan'fang 梅艳芳
'meng'ting'wei 孟庭苇
'meng'xin 孟欣
'meng'yao 孟尧
'mi'xue'wei'qi 蜜雪薇琪
'miao'pu 苗圃
'ming'jun'nv'hai 明骏女孩
'miu'yi'ting 缪以婷
'mo'wen'wei 莫文蔚
'na'ying 那英
'ni'ping 倪萍
'nie'yuan 聂远
'ning'jing 宁静
'niu'li 牛莉
'niu'qing'feng 牛青峰
'niu'qun 牛群
'niu'zhen'hua 牛振华
'nv'zi'guo'yue'fang 女子国乐坊
'nv'zi'shi'er'yue'fang 女子十二乐坊
'pan'jie 潘婕
'pan'wei'bo 潘玮柏
'pan'yue'ming 潘粤明
'pang'long 庞龙
'peng'dan 彭丹
'peng'li'yuan 彭丽媛
'pin'guan 品冠
'pu'cun'xin 濮存昕
'pu'shu 朴树
'qi'ji 戚迹
'qi'qian'jun 齐千郡
'qi'qin 齐秦
'qi'yu 齐豫
'qian'wei'cheng 钱韦成
'qiao'zhen 乔榛
'qin'hai'lu 秦海璐
'qin'lan 秦岚
'qing'wa'yue'dui 青蛙乐队
'qiu'jia'min 邱嘉敏
'qiu'shu'zhen 邱淑贞
'qiu'xiao 仇晓
'qiu'ze 邱泽
'qu'ying 瞿颖
'ren'cheng'wei 任程伟
'ren'da'hua 任达华
'ren'quan 任泉
'ren'xian'qi 任贤齐
'rong'zu'er 容祖儿
'sha'bao'liang 沙宝亮
'shan'zi'jia 杉籽伽
'shao'bing 邵兵
'shao'mei'qi 邵美琪
'she'shi'man 佘诗曼
'shen'bing 沈冰
'shen'chang 沈畅
'shen'hui'fen 沈慧芬
'shen'ling 沈凌
'shen'pei'yi 沈培艺
'shen'xing 沈星
'shi'chun'ling 师春玲
'shi'xiao'qun 石小群
'shu'chang 舒畅
'shu'gao 舒高
'shu'qi 舒淇
'shui'jun'yi 水均益
'shui'mu'nian'hua 水木年华
'shun'tian'qi 舜天齐
'shun'zi 顺子
'si'qin'gao'wa 斯琴高娃
'si'qin'ge'ri'le 斯琴格日乐
'song'dan'dan 宋丹丹
'song'ke 宋柯
'song'zu'ying 宋祖英
'su'hui'lun 苏慧伦
'su'jian'xin 苏见信
'su'jin 苏瑾
'su'rui 苏芮
'su'you'peng 苏有朋
'sun'fei'fei 孙菲菲
'sun'hai'ying 孙海英
'sun'hong'lei 孙红雷
'sun'jie 孙洁
'sun'li 孙俪
'sun'nan 孙楠
'sun'ning 孙宁
'sun'xin'zhao 孙新钊
'sun'xing 孙兴
'sun'xun 孙逊
'sun'yan'zi 孙燕姿
'sun'yi'fei 孙逸飞
'sun'yue 孙悦
'suo'ni 索妮
'tan'dun 谭盾
'tan'xin'rou 谭歆柔
'tan'yong'lin 谭咏麟
'tang'guo'qiang 唐国强
'tang'ji'li 唐季礼
'tang'jia'li 汤加丽
'tang'ning 唐宁
'tang'qun 汤群
'tao'hong 陶红
'tao'hong 陶虹
'tao'jing'ying 陶晶莹
'tian'hai'rong 田海蓉
'tian'liang 田亮
'tian'min 田岷
'tian'qin'xin 田沁鑫
'tian'yuan 田原
'tian'zhen 田震
'tong'an'ge 童安格
'tong'da'wei 佟大为
'tong'hua 童话
'tong'zi'rong 童自荣
'tu'ling 涂凌
'wan'mei'xi 万美汐
'wang'fei 王菲
'wang'feng 汪峰
'wang'gang 王刚
'wang'gao'xing 王高兴
'wang'ji 王姬
'wang'jia'wei 王家卫
'wang'jie 王杰
'wang'jing 王晶
